date: weight

03/12: 136kg
04/12: 1345kg
05/12: 133,3kg
07/12: 133,4kg

10/12: 134kg
11/12: 132,7kg
12/12: 132,6kg
13/12: 131,9kg

20/12: 129,6kg
21/12: 129,4kg
22/12: 130,4kg

31/12: 131kg
01/01: 131,2kg
02/01: 130,8kg
03/01: 130,3kg
04:01: 130,3kg
06/01: 130,8kg

09/01: 131,6kg
11/01: 130,1kg
14/01: 129,3kg
15/01: 128,9kg
16/01: 128,3kg
17/01: 128,5kg
18/01: 128,8kg

21/01: 127,4kg
23/01: 127,6kg
24/01: 127,6kg

28/01: 127,3kg
29/01: 127,1kg
30/01: 126,6kg
31/01: 126,3kg

04/02: 125,5kg
05/02: 125,4kg 
07/02: 125,9kg
08/02: 125,7kg

11/02: 123,4kg 
12/02: 124,3kg
13/02: 124,3kg
14/02: 123,8kg

18/02: 123,2kg
19/02: 122,7kg
20/02: 122,4kg
21/02: 122,5kg

25/02: 122,4kg
26/02: 122kg
27/02: 122kg
28/02: 122,2kg
01/03: 122kg

06/03: 122,3kg
07:03: 120,7kg
08/03: 120,7kg

11/03: 120,6kg
12/03: 119,7kg
13/03: 118,6kg

01/04: 117,9kg
03/04: 116,9kg
06/04: 117kg

08/04: 117,1kg
09/04: 116,9kg
10/09: 115,9kg
11/09: 115,7kg

15/04: 114,6kg
16/04: 114,2kg
17/04: 114,1kg
18/04: 114 kg

22/04: 114,4kg
23/04: 113,8kg
25/04: 112kg
29/04: 113,3kg

03/05: 111,1kg

06/05: 114,2kg
07/05: 114kg
08/05: 113kg
10/05: 111,9kg

16/05: 110,6kg

21/05: 108,9kg
22/05: 109,2kg
23/05: 108,1kg

27/05: 108,9kg
28/05: 108,1kg
29/05: 107,7kg
30/05: 107,5kg

03/06: 108kg
05:06: 108kg

10/06: 107,1kg
11/06: 106,5kg

17/06: 106,2kg
18/06: 106,8kg
21/06: 105,9kg

25/06: 105,7kg
26/06: 104,7kg

01/07: 104,5kg
03/07: 104,2kg

08/07: 103,8kg

11/07: 102,2kg

15/07: 102,3kg
16/07: 102,1kg
18/07:101,8kg

22/07: 102,3kg
23:07: 102kg
26/07: 103kg

29/07: 102,9kg
30/07: 102,8kg
31/07: 102,6kg

03/08: 101,5kg
05/08: 102kg
07/08: 101kg

12/08: 103,2kg

19/08: 105,2kg
20/08: 103,1kg

27/08:102,3kg
29/08: 102,8kg

03/09: 101,8kg
05/09: 101,8kg

09/09/2019: 102,8kg

17/09/19: 103,6kg
18/09/19: 102,6kg

24/09/19: 102,4kg

30/09/19: 103,8kg

07/10/19: 104,1kg
09/10/19: 103,6kg

14/10/19: 104,5kg
16/10/19: 104,4kg
18/10/19: 104,1kg

21/10/19: 106,8kg

30/10/19: 103,6kg
03/11/19: 102,2kg

06/11/19: 103,6kg

12/11/19: 104,2kg

19/11/19: 104,2kg
24/11/19: 103,4kg

26/11/19: 104,1kg
27/11/19: 102,7kg

02/12/19: 104,8kg
